,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
73,美國,求婚好意外,2020-12-11T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,1330,-0.670057058,312028,25665,5950075,20_1228-0103,122637145
74,美國,古魯家族：新石代,2020-11-27T00:00:00,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,34,1260,-0.636363636,284279,74537,16854504,20_1228-0103,122637145
75,美國,神力女超人1984 ,2020-12-17T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,180825,-0.444447858,45871411,889907,226105230,20_1228-0103,122637145
76,美國,再見街貓BOB,2020-12-10T00:00:00,采昌國際多媒體股份有限公司,Bos Entertainment Inc. dba The Exchange,5,222,-0.732851986,52565,10617,2524512,20_1228-0103,122637145
77,美國,魔物獵人,2020-12-04T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,92,19190,-0.327940043,4441573,414011,98554740,20_1228-0103,122637145
78,韓國,瑜珈怨,2020-12-04T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,17,-0.564102564,3655,7121,1677660,20_1228-0103,122637145
79,日本,順其自然的日子,2020-12-18T00:00:00,可樂藝術文創股份有限公司,PONY CANYON INC.,17,181,-0.647859922,42056,1274,305704,20_1228-0103,122637145
80,日本,約會大作戰 赤黑新章：紅或白,2020-12-04T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,9,39,-0.524390244,6538,1700,271573,20_1228-0103,122637145
81,日本,信用詐欺師JP:公主篇,2020-12-11T00:00:00,海樂影業股份有限公司,PONY CANYON INC.,30,1523,-0.617432806,362711,22636,5380414,20_1228-0103,122637145
82,韓國,說唱藝人：希望之聲,2020-12-18T00:00:00,原創娛樂股份有限公司,"KT Hitel CO., LTD.",3,28,-0.813333333,6885,494,112869,20_1228-0103,122637145
83,日本,新解釋．三國志,2020-12-11T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,41,3008,-0.331555556,773737,32756,7885429,20_1228-0103,122637145
84,韓國,喬瑟與老虎、魚,2020-12-11T00:00:00,英屬維京群島商高捷全球開發有限公司 台灣分公司,K-MOVIE ENTERTAINMENT,3,48,-0.779816514,10200,3524,815768,20_1228-0103,122637145
85,日本,魔睡,2020-12-24T00:00:00,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO., LTD.",3,8,-0.578947368,1535,27,5145,20_1228-0103,122637145
86,義大利,鬼巢,2020-12-18T00:00:00,車庫娛樂股份有限公司,TRUE COLOURS GLORIOUS FILMS S.R.L.,15,128,-0.900543901,29300,3168,735132,20_1228-0103,122637145
87,美國,高校棋蹟,2020-12-18T00:00:00,捷傑有限公司,"Cinema Management Group, LLC",6,83,-0.828512397,17815,1249,284929,20_1228-0103,122637145
88,美國,戀愛進行弒,2020-12-18T00:00:00,車庫娛樂股份有限公司,BOULDERLIGHT PICTURES,1,3,-0.875,720,51,11435,20_1228-0103,122637145
89,英國,來者弒客,2020-12-24T00:00:00,車庫娛樂股份有限公司,VERSATILE,33,1211,-0.512872084,270444,3697,841123,20_1228-0103,122637145
90,越南,坑爹大作戰,2020-12-24T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,3,19,-0.793478261,4205,111,24630,20_1228-0103,122637145
91,美國,真愛鄰距離,2020-12-24T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,HANWAY FILMS LIMITED,58,2060,-0.401162791,461903,5500,1248291,20_1228-0103,122637145
92,英國,愛是您·愛是我,2020-12-24T00:00:00,東昊影業有限公司,Studiocanal S.A.S,14,1000,-0.401197605,226096,2670,640199,20_1228-0103,122637145
93,美國,花木蘭(數位國語2D版),2020-09-04T00:00:00,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",3,179,-0.22173913,11825,312912,72351100,20_1228-0103,122637145
94,加拿大,哈柏太空之旅 3D,2019-02-04T00:00:00,國際電影事業有限公司,IMAX Corporation,1,0,-1,0,695,102860,0104-0110,87609439
95,加拿大,深海獵奇 3D,2019-02-03T00:00:00,國際電影事業有限公司,IMAX Corporation,1,0,-1,0,1306,162859,0104-0110,87609439
96,中華民國,刻在你心底的名字,2020-09-30T00:00:00,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,2,142,-0.645,34334,412470,96935120,0104-0110,87609439
97,中華民國,親愛的房客,2020-10-23T00:00:00,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,9,345,-0.709351306,78178,161210,38271752,0104-0110,87609439
98,美國,1917,2020-01-30T00:00:00,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,60,1,19546,304123,74518774,0104-0110,87609439
99,中華民國,急先鋒,2020-09-30T00:00:00,龍祥育樂多媒體股份有限公司,無錫市晶麗影院管理有限公司##深圳市浩志文化傳媒有限公司##霍爾果斯創維酷開文化傳媒有限公司##霍爾果斯禮想境界影視傳媒有限公司##中影(上海)影視文化投資管理中心(有限合夥)##文投控股股份有限公司##幸福藍海影視文化集團股份有限公司##北京明星時代影院投資有限公司##珠江電影集團有限公司##人民日報數字傳播有限公司##鼎盛創新資本有限公司##深圳廣電影視股份有限公司##騰訊影業文化傳播有限公司##中國電影股份有限公司##中影(上海)國際文化傳媒有限公司##上海禮想境界影視傳媒有限公司##上海影新影視有限公司##九江市逸興投資有限公司,1,13,-0.35,1430,21972,4848171,0104-0110,87609439
